"record_id","berth_id","time","org_id","angle_zone","lspeed_zone","ldistance_zone","rdistance_zone","rspeed_zone","left_speed","left_distance","right_speed","right_distance","angle","left_status","right_status","rdistance_alarm","rspeed_alarm","ldistance_alarm","lspeed_alarm","angle_alarm","created_at","updated_at","deleted_at"
"622","1","2025-02-17T01:44:32.02617","52","1","1","1","1","1","0.0","6.105","0.0","5.747999999999999","0.25568071888552135","2","2","2","1","2","1","1","2025-02-17T01:44:32.02617","2025-02-17T01:44:32.02617",""
"622","1","2025-02-17T01:44:33.17443","52","1","1","1","1","1","0.0","6.1080000000000005","0.5","5.781000000000001","0.2341951944812667","2","2","2","1","2","1","1","2025-02-17T01:44:33.17443","2025-02-17T01:44:33.17443",""
"622","1","2025-02-17T01:44:34.31231","52","1","1","1","1","1","0.2","6.111","-0.3","5.775","0.24064085899335041","2","2","2","1","2","1","1","2025-02-17T01:44:34.31231","2025-02-17T01:44:34.31231",""
"622","1","2025-02-17T01:44:35.46638","52","1","1","1","1","1","0.0","6.105","-0.6","5.757","0.24923506883964439","2","2","2","1","2","1","1","2025-02-17T01:44:35.46638","2025-02-17T01:44:35.46638",""
"622","1","2025-02-17T01:44:36.61030","52","1","1","1","1","1","0.0","6.113999999999999","0.8999999999999999","5.766","0.24923506883964316","2","2","2","1","2","1","1","2025-02-17T01:44:36.61030","2025-02-17T01:44:36.61030",""
"622","1","2025-02-17T01:44:37.75020","52","1","1","1","1","1","-0.1","6.111","0.1","5.784","0.2341951944812667","2","2","2","1","2","1","1","2025-02-17T01:44:37.75020","2025-02-17T01:44:37.75020",""
"622","1","2025-02-17T01:44:38.89833","52","1","1","1","1","1","0.3","6.09","-0.2","5.769","0.22989808150319518","2","2","2","1","2","1","1","2025-02-17T01:44:38.89833","2025-02-17T01:44:38.89833",""
"622","1","2025-02-17T01:44:38.97025","52","1","1","1","1","1","0.3","6.09","-0.2","5.757","0.23849230482471573","2","2","2","1","2","1","1","2025-02-17T01:44:38.97025","2025-02-17T01:44:38.97025",""
"622","1","2025-02-17T01:44:40.13383","52","1","1","1","1","1","0.0","6.113999999999999","0.1","5.742","0.2664234544998558","2","2","2","1","2","1","1","2025-02-17T01:44:40.13383","2025-02-17T01:44:40.13383",""
"622","1","2025-02-17T01:44:41.27901","52","1","1","1","1","1","0.4","6.101999999999999","-0.4","5.76","0.24493796529423117","2","2","2","1","2","1","1","2025-02-17T01:44:41.27901","2025-02-17T01:44:41.27901",""
"622","1","2025-02-17T01:44:42.42157","52","1","1","1","1","1","-0.1","6.111","-0.5","5.76","0.25138361956394395","2","2","2","1","2","1","1","2025-02-17T01:44:42.42157","2025-02-17T01:44:42.42157",""
"622","1","2025-02-17T01:44:43.57450","52","1","1","1","1","1","0.0","6.105","-0.3","5.757","0.24923506883964439","2","2","2","1","2","1","1","2025-02-17T01:44:43.57450","2025-02-17T01:44:43.57450",""
"622","1","2025-02-17T01:44:44.73452","52","1","1","1","1","1","-0.1","6.093","0.1","5.76","0.23849230482471573","2","2","2","1","2","1","1","2025-02-17T01:44:44.73452","2025-02-17T01:44:44.73452",""
