"record_id","berth_id","time","org_id","angle_zone","lspeed_zone","ldistance_zone","rdistance_zone","rspeed_zone","left_speed","left_distance","right_speed","right_distance","angle","left_status","right_status","rdistance_alarm","rspeed_alarm","ldistance_alarm","lspeed_alarm","angle_alarm","created_at","updated_at","deleted_at"
"745","1","2025-03-12T18:10:52.87495","52","1","1","1","1","1","0.3","-0.04900000000000038","0.2","-0.01499999999999968","-0.027829376432153673","1","1","1","1","1","1","1","2025-03-12T18:10:52.87495","2025-03-12T18:10:52.87495",""
"745","1","2025-03-12T18:10:54.04850","52","1","1","1","1","1","-0.7000000000000001","-0.03000000000000025","0.2","-0.021999999999999353","-0.006548089058701454","1","1","1","1","1","1","1","2025-03-12T18:10:54.04850","2025-03-12T18:10:54.04850",""
"745","1","2025-03-12T18:10:55.22553","52","1","1","1","1","1","1.5","-0.040000000000000036","0.8","-0.026999999999999247","-0.010640644644384715","1","1","1","1","1","1","1","2025-03-12T18:10:55.22553","2025-03-12T18:10:55.22553",""
