"record_id","berth_id","time","org_id","angle_zone","lspeed_zone","ldistance_zone","rdistance_zone","rspeed_zone","left_speed","left_distance","right_speed","right_distance","angle","left_status","right_status","rdistance_alarm","rspeed_alarm","ldistance_alarm","lspeed_alarm","angle_alarm","created_at","updated_at","deleted_at"
"741","1","2025-03-12T17:23:30.47084","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:30.47084","2025-03-12T17:23:30.47084",""
"741","1","2025-03-12T17:23:31.64392","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:31.64392","2025-03-12T17:23:31.64392",""
"741","1","2025-03-12T17:23:32.80781","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:32.80781","2025-03-12T17:23:32.80781",""
"741","1","2025-03-12T17:23:33.96576","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:33.96576","2025-03-12T17:23:33.96576",""
"741","1","2025-03-12T17:23:35.14912","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:35.14912","2025-03-12T17:23:35.14912",""
"741","1","2025-03-12T17:23:36.32218","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:36.32218","2025-03-12T17:23:36.32218",""
"741","1","2025-03-12T17:23:37.49114","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:37.49114","2025-03-12T17:23:37.49114",""
"741","1","2025-03-12T17:23:38.65139","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:38.65139","2025-03-12T17:23:38.65139",""
"741","1","2025-03-12T17:23:39.81974","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:39.81974","2025-03-12T17:23:39.81974",""
"741","1","2025-03-12T17:23:40.98414","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:40.98414","2025-03-12T17:23:40.98414",""
"741","1","2025-03-12T17:23:42.13930","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:42.13930","2025-03-12T17:23:42.13930",""
"741","1","2025-03-12T17:23:43.31481","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:43.31481","2025-03-12T17:23:43.31481",""
"741","1","2025-03-12T17:23:44.48123","52","1","1","1","1","1","0.0","-5.5","0.0","-5.0","-0.4092486080349388","1","1","1","1","1","1","1","2025-03-12T17:23:44.48123","2025-03-12T17:23:44.48123",""
