"record_id","berth_id","time","org_id","angle_zone","lspeed_zone","ldistance_zone","rdistance_zone","rspeed_zone","left_speed","left_distance","right_speed","right_distance","angle","left_status","right_status","rdistance_alarm","rspeed_alarm","ldistance_alarm","lspeed_alarm","angle_alarm","created_at","updated_at","deleted_at"
"695","1","2025-02-21T20:45:55.49421","52","1","1","1","1","1","0.6","0.1639999999999997","-0.4","-0.39700000000000024","0.4591749166613845","3","1","1","1","3","1","1","2025-02-21T20:45:55.49421","2025-02-21T20:45:55.49421",""
"695","1","2025-02-21T20:45:56.66126","52","1","1","1","1","1","0.6","0.16999999999999993","-1.2","-0.3719999999999999","0.44362417043888547","3","1","1","1","3","1","1","2025-02-21T20:45:56.66126","2025-02-21T20:45:56.66126",""
"695","1","2025-02-21T20:45:57.82706","52","1","1","1","1","1","0.2","0.17900000000000027","-1.4000000000000001","-0.3929999999999998","0.468177949490112","3","1","1","1","3","1","1","2025-02-21T20:45:57.82706","2025-02-21T20:45:57.82706",""
"695","1","2025-02-21T20:45:58.99439","52","1","1","1","1","1","0.5","0.18400000000000016","-1.0","-0.41000000000000014","0.48618394534402687","3","1","1","1","3","1","1","2025-02-21T20:45:58.99439","2025-02-21T20:45:58.99439",""
"695","1","2025-02-21T20:46:00.17527","52","1","1","1","1","1","0.0","0.18700000000000028","1.0999999999999999","-0.4119999999999999","0.49027620386348475","3","1","1","1","3","1","1","2025-02-21T20:46:00.17527","2025-02-21T20:46:00.17527",""
"695","1","2025-02-21T20:46:01.35624","52","1","1","1","1","1","-0.1","0.19200000000000017","0.1","-0.42100000000000026","0.5017345009729803","3","1","1","1","3","1","1","2025-02-21T20:46:01.35624","2025-02-21T20:46:01.35624",""
"695","1","2025-02-21T20:46:02.53966","52","1","1","1","1","1","0.0","0.19299999999999962","0.5","-0.399","0.4845470405449752","3","1","1","1","3","1","1","2025-02-21T20:46:02.53966","2025-02-21T20:46:02.53966",""
"695","1","2025-02-21T20:46:03.72671","52","1","1","1","1","1","0.0","0.18799999999999972","0.4","-0.40700000000000003","0.48700239744609103","3","1","1","1","3","1","1","2025-02-21T20:46:03.72671","2025-02-21T20:46:03.72671",""
"695","1","2025-02-21T20:46:03.77845","52","1","1","1","1","1","-0.1","0.1900000000000004","0.4","-0.40700000000000003","0.48863930105362907","3","1","1","1","3","1","1","2025-02-21T20:46:03.77845","2025-02-21T20:46:03.77845",""
"695","1","2025-02-21T20:46:04.95462","52","1","1","1","1","1","-0.2","0.18700000000000028","1.9","-0.4109999999999996","0.48945775255843377","3","1","1","1","3","1","1","2025-02-21T20:46:04.95462","2025-02-21T20:46:04.95462",""
"695","1","2025-02-21T20:46:06.15884","52","1","1","1","1","1","-0.4","0.18400000000000016","0.5","-0.3860000000000001","0.4665410361369653","3","1","1","1","3","1","1","2025-02-21T20:46:06.15884","2025-02-21T20:46:06.15884",""
"695","1","2025-02-21T20:46:07.34254","52","1","1","1","1","1","-0.8999999999999999","0.18400000000000016","0.4","-0.37899999999999956","0.4608118334207616","3","1","1","1","3","1","1","2025-02-21T20:46:07.34254","2025-02-21T20:46:07.34254",""
"695","1","2025-02-21T20:46:08.52246","52","1","1","1","1","1","-0.2","0.17300000000000004","1.4000000000000001","-0.34499999999999975","0.42398102944275934","3","1","1","1","3","1","1","2025-02-21T20:46:08.52246","2025-02-21T20:46:08.52246",""
"695","1","2025-02-21T20:46:09.70550","52","1","1","1","1","1","-0.8","0.16300000000000026","0.8","-0.34799999999999986","0.4182517610056289","3","1","1","1","3","1","1","2025-02-21T20:46:09.70550","2025-02-21T20:46:09.70550",""
"695","1","2025-02-21T20:46:10.89112","52","1","1","1","1","1","-0.2","0.16199999999999992","-490.00000000000006","-0.3600000000000003","0.4272548933216385","3","1","1","1","3","1","1","2025-02-21T20:46:10.89112","2025-02-21T20:46:10.89112",""
"695","1","2025-02-21T20:46:12.06467","52","1","1","1","1","1","0.0","0.15800000000000036","-10.2","-4.842","4.085616779974877","3","1","1","1","3","1","1","2025-02-21T20:46:12.06467","2025-02-21T20:46:12.06467",""
